Movie Name,Year,Character,IMDb Rating,Box Office
Zootopia,2016,Finnick,8.0,341264012.0
Zootopia,2016,Flash,8.0,341264012.0
Zootopia,2016,Gazelle,8.0,341264012.0
Zootopia,2016,Jerry Jumbeaux Jr.,8.0,341264012.0
Zootopia,2016,Jesse the Ram,8.0,341264012.0
Zootopia,2016,Judy Hopps,8.0,341264012.0
Zootopia,2016,Mayor Lionheart,8.0,341264012.0
Zootopia,2016,Mr. Big,8.0,341264012.0
Zootopia,2016,Mrs. Otterton,8.0,341264012.0
Zootopia,2016,"Nicholas ""Nick"" P. Wilde",8.0,341264012.0
Zootopia,2016,Pronk Oryx-Antlerson,8.0,341264012.0
Zootopia,2016,Stu Hopps,8.0,341264012.0
Zootopia,2016,Woolter the Ram,8.0,341264012.0
Zootopia,2016,Yax,8.0,341264012.0
Atlantis: The Lost Empire,2001,Audrey Ramirez,6.9,83561615.0
Atlantis: The Lost Empire,2001,Commander Lyle Rourke,6.9,83561615.0
Atlantis: The Lost Empire,2001,Cookie,6.9,83561615.0
Atlantis: The Lost Empire,2001,Dr. Joshua Sweet,6.9,83561615.0
Atlantis: The Lost Empire,2001,Fenton Q. Harcourt,6.9,83561615.0
Atlantis: The Lost Empire,2001,"Gaetan ""Mole"" Moliére",6.9,83561615.0
Atlantis: The Lost Empire,2001,Helga Sinclair,6.9,83561615.0
Atlantis: The Lost Empire,2001,King Kashekim Nedakh,6.9,83561615.0
Atlantis: The Lost Empire,2001,Milo Thatch,6.9,83561615.0
Atlantis: The Lost Empire,2001,Preston B. Whitmore,6.9,83561615.0
Atlantis: The Lost Empire,2001,Princess Kidagakash,6.9,83561615.0
Atlantis: The Lost Empire,2001,"Vincenzo ""Vinny"" Santorini",6.9,83561615.0
Atlantis: The Lost Empire,2001,Wilhelmina Packard,6.9,83561615.0
Sleeping Beauty,1959,Aurora,7.2,
Sleeping Beauty,1959,Diablo the Raven,7.2,
Sleeping Beauty,1959,Fauna,7.2,
Sleeping Beauty,1959,Flora,7.2,
Sleeping Beauty,1959,King Hubert,7.2,
Sleeping Beauty,1959,King Stefan,7.2,
Sleeping Beauty,1959,Maleficent,7.2,
Sleeping Beauty,1959,Merryweather,7.2,
Sleeping Beauty,1959,Prince Phillip,7.2,
Sleeping Beauty,1959,Queen Leah,7.2,
Sleeping Beauty,1959,Samson the Horse,7.2,
Mickey Mouse Clubhouse,2006,Baby Red Bird,5.7,
Mickey Mouse Clubhouse,2006,Bella,5.7,
Mickey Mouse Clubhouse,2006,Mr. Pettibone,5.7,
DuckTales,1987,Babyface Beagle,8.1,
DuckTales,1987,Backwoods Beagle,8.1,
DuckTales,1987,Bacon Beagle,8.1,
DuckTales,1987,Baggy Beagle,8.1,
DuckTales,1987,Bankjob Beagle,8.1,
DuckTales,1987,Bentina Beakley,8.1,
DuckTales,1987,Bigtime Beagle,8.1,
DuckTales,1987,Binky Beagle,8.1,
DuckTales,1987,Bomber Beagle,8.1,
DuckTales,1987,Bouncer Beagle,8.1,
DuckTales,1987,Bugle Beagle,8.1,
DuckTales,1987,Burger Beagle,8.1,
DuckTales,1987,Dijon the Thief,8.1,
DuckTales,1987,Doofus Drake,8.1,
DuckTales,1987,Duckworth,8.1,
DuckTales,1987,El Capitan,8.1,
DuckTales,1987,Fenton Crackshell (Gizmoduck),8.1,
DuckTales,1987,Flintheart Glomgold,8.1,
DuckTales,1987,Gladstone Gander,8.1,
DuckTales,1987,Glittering Goldie,8.1,
DuckTales,1987,Gyro Gearloose,8.1,
DuckTales,1987,Launchpad McQuack,8.1,
DuckTales,1987,Ma Beagle,8.1,
DuckTales,1987,Magica De Spell,8.1,
DuckTales,1987,Megabyte Beagle,8.1,
DuckTales,1987,Merlock the Magician,8.1,
DuckTales,1987,Mrs. Featherby,8.1,
DuckTales,1987,The Phantom Blot,8.1,
DuckTales,1987,Poe De Spell,8.1,
DuckTales,1987,Scrooge McDuck,8.1,
DuckTales,1987,Webby Vanderquack,8.1,
Sofia the First,2013,Baileywick,7.0,
Sofia the First,2013,Cedric the Sorcerer,7.0,
Sofia the First,2013,Clover,7.0,
Sofia the First,2013,King Roland II,7.0,
Sofia the First,2013,Miss Nettle,7.0,
Sofia the First,2013,Prince James,7.0,
Sofia the First,2013,Princess Amber,7.0,
Sofia the First,2013,Queen Miranda,7.0,
Sofia the First,2013,Princess Sofia,7.0,
Sofia the First,2013,Wormwood the Raven,7.0,
Fantasia 2000,1999,Ballerina,7.2,
Fantasia 2000,1999,Duke,7.2,
Fantasia 2000,1999,The Firebird,7.2,
Fantasia 2000,1999,Jack-in-the-Box,7.2,
Fantasia 2000,1999,Jobless Joe,7.2,
Fantasia 2000,1999,Rachel,7.2,
Fantasia 2000,1999,Spring Sprite,7.2,
Fantasia 2000,1999,Yo-Yo,7.2,
Bambi,1942,Bambi,7.3,
Bambi,1942,Bambi's Mother,7.3,
Bambi,1942,Faline,7.3,
Bambi,1942,Flower,7.3,
Bambi,1942,Friend Owl,7.3,
Bambi,1942,Great Prince of the Forest,7.3,
Bambi,1942,Man the Hunter,7.3,
Bambi,1942,Mrs. Possum,7.3,
Bambi,1942,Mrs. Quail,7.3,
Bambi,1942,Thumper,7.3,
Bambi,1942,Thumper's Mother,7.3,
The Lion King,1994,Banzai,8.5,94240635.0
The Lion King,1994,Ed,8.5,94240635.0
The Lion King,1994,Mufasa,8.5,94240635.0
The Lion King,1994,Nala,8.5,94240635.0
The Lion King,1994,Pumbaa,8.5,94240635.0
The Lion King,1994,Rafiki,8.5,94240635.0
The Lion King,1994,Sarabi,8.5,94240635.0
The Lion King,1994,Sarafina,8.5,94240635.0
The Lion King,1994,Scar,8.5,94240635.0
The Lion King,1994,Shenzi,8.5,94240635.0
The Lion King,1994,Simba,8.5,94240635.0
The Lion King,1994,Timon,8.5,94240635.0
The Lion King,1994,Zazu,8.5,94240635.0
The Great Mouse Detective,1986,Bartholomew,7.2,
The Great Mouse Detective,1986,Basil of Baker Street,7.2,
The Great Mouse Detective,1986,Dr. David Q. Dawson,7.2,
The Great Mouse Detective,1986,Felicia the Cat,7.2,
The Great Mouse Detective,1986,Fidget,7.2,
The Great Mouse Detective,1986,Hiram Flaversham,7.2,
The Great Mouse Detective,1986,Lady Mouse,7.2,
The Great Mouse Detective,1986,Miss Kitty,7.2,
The Great Mouse Detective,1986,Mrs. Judson,7.2,
The Great Mouse Detective,1986,Olivia Flaversham,7.2,
The Great Mouse Detective,1986,Professor Ratigan,7.2,
The Great Mouse Detective,1986,Queen Mousetoria,7.2,
The Great Mouse Detective,1986,Toby the Dog,7.2,
Snow White and the Seven Dwarfs,1937,Bashful,7.6,
Snow White and the Seven Dwarfs,1937,Doc,7.6,
Snow White and the Seven Dwarfs,1937,Dopey,7.6,
Snow White and the Seven Dwarfs,1937,Grumpy,7.6,
Snow White and the Seven Dwarfs,1937,Happy,7.6,
Snow White and the Seven Dwarfs,1937,Humbert the Huntsman,7.6,
Snow White and the Seven Dwarfs,1937,The Magic Mirror,7.6,
Snow White and the Seven Dwarfs,1937,Prince,7.6,
Snow White and the Seven Dwarfs,1937,Queen Grimhilde,7.6,
Snow White and the Seven Dwarfs,1937,Sleepy,7.6,
Snow White and the Seven Dwarfs,1937,Sneezy,7.6,
Snow White and the Seven Dwarfs,1937,Snow White,7.6,
Big Hero 6,2014,Baymax,7.8,
Big Hero 6,2014,Cass Hamada,7.8,
Big Hero 6,2014,Fred,7.8,
Big Hero 6,2014,Go Go Tomago,7.8,
Big Hero 6,2014,Hiro Hamada,7.8,
Big Hero 6,2014,Honey Lemon (Disney),7.8,
Big Hero 6,2014,Mochi,7.8,
Big Hero 6,2014,Mr. Yama,7.8,
Big Hero 6,2014,Tadashi Hamada,7.8,
Big Hero 6,2014,Wasabi,7.8,
Bedknobs and Broomsticks,1971,Bear,7.1,
Bedknobs and Broomsticks,1971,Codfish,7.1,
Bedknobs and Broomsticks,1971,King Leonidas,7.1,
Bedknobs and Broomsticks,1971,Secretary Bird,7.1,
The Country Bears,2002,Beary Barrington,4.1,16892873.0
The Country Bears,2002,Big Al,4.1,16892873.0
The Country Bears,2002,Dex Barrington,4.1,16892873.0
The Country Bears,2002,Ted Betterhead,4.1,16892873.0
Pocahontas,1995,Ben,6.7,
Pocahontas,1995,Captain John Smith,6.7,
Pocahontas,1995,Chief Powhatan,6.7,
Pocahontas,1995,Flit,6.7,
Pocahontas,1995,Governor John Ratcliffe,6.7,
Pocahontas,1995,Grandmother Willow,6.7,
Pocahontas,1995,John Smith,6.7,
Pocahontas,1995,Kekata the Medicine man,6.7,
Pocahontas,1995,Kocoum,6.7,
Pocahontas,1995,Meeko,6.7,
