Movie Name,Year,Keyword,IMDb Rating,Box Office
An Extremely Goofy Movie,2000,college,6.3,
An Extremely Goofy Movie,2000,sport,6.3,
An Extremely Goofy Movie,2000,duringcreditsstinger,6.3,
An Extremely Goofy Movie,2000,father son conflict,6.3,
The Rescuers,1977,kidnapping,6.9,
The Rescuers,1977,mouse,6.9,
The Rescuers,1977,baby-snatching,6.9,
The Rescuers,1977,bottle,6.9,
The Rescuers,1977,rescue,6.9,
The Rescuers,1977,energy,6.9,
The Rescuers,1977,rescue mission,6.9,
The Rescuers,1977,mole,6.9,
The Rescuers,1977,car,6.9,
The Rescuers,1977,hole,6.9,
The Rescuers,1977,tide,6.9,
Three Little Pigs,1933,cartoon,7.5,
Three Little Pigs,1933,big bad wolf,7.5,
Three Little Pigs,1933,silly symphony,7.5,
Three Little Pigs,1933,short,7.5,
Treasure Planet,2002,cyborg,7.2,38120554.0
Treasure Planet,2002,loss of loved one,7.2,38120554.0
Treasure Planet,2002,based on novel or book,7.2,38120554.0
Treasure Planet,2002,space marine,7.2,38120554.0
Treasure Planet,2002,mutiny,7.2,38120554.0
Treasure Planet,2002,map,7.2,38120554.0
Treasure Planet,2002,pirate gang,7.2,38120554.0
Treasure Planet,2002,treasure hunt,7.2,38120554.0
Treasure Planet,2002,little boy,7.2,38120554.0
Treasure Planet,2002,space,7.2,38120554.0
Treasure Planet,2002,alien,7.2,38120554.0
Treasure Planet,2002,money,7.2,38120554.0
Treasure Planet,2002,treasure map,7.2,38120554.0
Treasure Planet,2002,planet,7.2,38120554.0
Treasure Planet,2002,troubled teen,7.2,38120554.0
Treasure Planet,2002,space pirate,7.2,38120554.0
Tinker Bell and the Lost Treasure,2009,friendship,6.7,
Tinker Bell and the Lost Treasure,2009,based on children's book,6.7,
Tinker Bell and the Lost Treasure,2009,anger issues,6.7,
Tinker Bell and the Lost Treasure,2009,inspired by novel,6.7,
Pinocchio,1940,italy,7.4,
Pinocchio,1940,sea,7.4,
Pinocchio,1940,lie,7.4,
Pinocchio,1940,magic,7.4,
Pinocchio,1940,fairy,7.4,
Pinocchio,1940,carnival,7.4,
Pinocchio,1940,donkey,7.4,
Pinocchio,1940,whale,7.4,
Pinocchio,1940,wish,7.4,
Pinocchio,1940,boy,7.4,
Pinocchio,1940,nose,7.4,
Pinocchio,1940,puppet,7.4,
Pinocchio,1940,rescue,7.4,
Pinocchio,1940,conscience,7.4,
Pinocchio,1940,jackass,7.4,
Pinocchio,1940,wish fulfillment,7.4,
Pinocchio,1940,toy comes to life,7.4,
Meet the Robinsons,2007,saving the world,6.8,97690955.0
Meet the Robinsons,2007,tyrannosaurus rex,6.8,97690955.0
Meet the Robinsons,2007,adoption,6.8,97690955.0
Meet the Robinsons,2007,future,6.8,97690955.0
Meet the Robinsons,2007,time travel,6.8,97690955.0
Meet the Robinsons,2007,time machine,6.8,97690955.0
Meet the Robinsons,2007,mythical creature,6.8,97690955.0
Meet the Robinsons,2007,friendship,6.8,97690955.0
Meet the Robinsons,2007,best friend,6.8,97690955.0
Meet the Robinsons,2007,rescue team,6.8,97690955.0
Meet the Robinsons,2007,family,6.8,97690955.0
Meet the Robinsons,2007,3d,6.8,97690955.0
Song of the South,1946,southern,7.1,
The Emperor's New Groove,2000,central and south america,7.3,87320505.0
The Emperor's New Groove,2000,birthday,7.3,87320505.0
The Emperor's New Groove,2000,emperor,7.3,87320505.0
The Emperor's New Groove,2000,palace,7.3,87320505.0
The Emperor's New Groove,2000,kingdom,7.3,87320505.0
The Emperor's New Groove,2000,berater,7.3,87320505.0
The Emperor's New Groove,2000,inca,7.3,87320505.0
The Emperor's New Groove,2000,llama,7.3,87320505.0
The Princess and the Frog,2009,new orleans,7.1,104374107.0
The Princess and the Frog,2009,voodoo,7.1,104374107.0
The Princess and the Frog,2009,frog,7.1,104374107.0
The Princess and the Frog,2009,kiss,7.1,104374107.0
The Princess and the Frog,2009,princess,7.1,104374107.0
The Princess and the Frog,2009,cajun,7.1,104374107.0
The Princess and the Frog,2009,firefly,7.1,104374107.0
The Princess and the Frog,2009,based on fairy tale,7.1,104374107.0
The Princess and the Frog,2009,duringcreditsstinger,7.1,104374107.0
The Princess and the Frog,2009,big dreams,7.1,104374107.0
The Princess and the Frog,2009,frog prince,7.1,104374107.0
The Princess and the Frog,2009,charlatan,7.1,104374107.0
The Princess and the Frog,2009,1920s,7.1,104374107.0
Bone Trouble,1940,cartoon,7.2,
Bone Trouble,1940,short,7.2,
Ralph Breaks the Internet,2018,video game,7.1,
Ralph Breaks the Internet,2018,sequel,7.1,
Ralph Breaks the Internet,2018,internet,7.1,
